APIs	Method	Payload	Urls	Response	Target Date	Completetion Date	Status	Remarks
User Login	POST	{"username": "anam", "password": "anam2007"}	/api/auth/login/	{ "access": "eyJ...", "refresh": "eyJ..." }	June 3, 2026	3 June ,2026	Done	I have used here POST api to login the credentials through opostman and successfully got the payload
Token Refresh	POST	{ "refresh": "eyJ..." }	/api/auth/refresh/	{ "access": "new_eyJ..." }	June 3, 2026	3 June 2026	Done	Here also To refresh token POST api call is done.
Secure Logout	POST	{ "refresh": "eyJ..." }	/api/auth/logout/	{ "message": "Session invalidated" }	June 3, 2026	3 June 2026	Done	Secure Logut has been performed with POST api,which successflly  deletes the user  login credentials 
Log Security Threat	POST	{ "threat_title": "DB Missing Encryption", "target_date": "2026-06-15", "status_id": 1 }	/api/vulnerabilities/	{ "id": 1, "threat_title": "DB Missing...", "target_date": "2026-06-15", "status": "CRITICAL", "remarks": null }	June 3, 2026	3 June 2026	Done	Registers a new server vulnerability, automatically linking it to the logged-in user.
List Vulnerabilities	GET	None	/api/vulnerabilities/	[ { "id": 1, "threat_title": "DB Missing Encryption", "status": "CRITICAL" } ]	June 3,2026	3 June 2026	Done	Fetches all open threats assigned to the authenticated security auditor.
Deploy Patch (Update)	PUT/PATCH	{"status_id": 2,"completion_date": "2026-06-03","remarks": "AES-256 patch deployed successfully."}	/api/vulnerabilities/<id>/	{ "id": 1, "status": "PATCHED_SECURED", "completion_date": "2026-06-03", "remarks": "..." }	3 June 2026	3 June 2026	Done	Updates the threat status, records the actual completion date, and logs audit remarks.
Delete Log	DELETE	None	/api/vulnerabilities/<id>/	HTTP 204 No Content	3 June 2026	3 June 2026	Done	Permanently deletes a duplicate or false-positive security log.
Create Customer	POST	{ "first_name": "Anam", "last_name": "Parwez", "email": "anam.p@shieldops.com", "phone": "9876543210" }	/api/bank/customers/	{ "id": 1, "first_name": "Anam", "last_name": "Parwez", "email": "anam.p@shieldops.com", "phone": "9876543210", "created_at": "2026-06-03T..." }	4 June 2026	4 June 2026	Done	Onboards a primary retail customer by capturing basic identity payloads to initiate the KYC workflow pipeline
Customer detail	GET	NONE	/api/bank/customers/<id>/	{ "id": 1, "first_name": "Anam", "last_name": "Parwez", "email": "anam.p@shieldops.com", "phone": "9876543210", "created_at": "2026-06-03T..." }	4June 2026	4 June 2026	Done	Queries the database using a specific look-up ID to retrieve and display the isolated KYC profile details of a single authenticated customer.
List Customers	GET	NONE	/api/bank/customers/	{ "id": 1, "first_name": "Anam", "last_name": "Parwez", "email": "anam.p@shieldops.com", "phone": "9876543210", "created_at": "2026-06-03T..." }	4June 2026	4 June 2026	Done	Retrieves a comprehensive directory of records to parse active customer profiles on the administrative interface.
Delete Customer Log	DELETE	NONE	/api/bank/customers/<id>/	HTTP 204 No Content	4 June 2026	4 June 2026	Done	Executes a database hard-delete on false/duplicate profiles, triggering cascading validation to remove unverified data.
Select account Type	GET	NONE	/api/choices/account-types/	[ { "id": 1, "type": "SAVINGS", "is_default": true }, { "id": 2, "type": "CURRENT", "is_default": false }, { "id": 3, "type": "FIXED_DEPOSIT", "is_default": false }]	9 June 2026	9 June 2026		
Open Bank Account	POST	{"customer_id": 2,"account_type_id": 1,"balance": "5000.00"}	/api/bank/accounts/	{ "id": 1, "customer": 1, "account_number": "SHIELD987654", "balance": "5000.00", "is_active": true }	4 June 2026	4 June 2026	Done 	Provisions a fresh active ledger instance mapped directly to an authenticated Customer ID via a strict relational ForeignKey dependency.
Freeze Bank Account	PATCH	{ "is_active": false }	/api/bank/accounts/<id>/	{ "id": 1, "account_number": "SHIELD987654", "is_active": false }	4 June 2026	4 June 2026	Done 	Performs a targeted partial state change on the account metadata, setting is_active to false to immediately isolate funds during risk events
List Full Ledger Logs	GET	NONE	/api/bank/transactions/	[ { "id": 1, "transaction_type": "DEPOSIT" }, { "id": 2, "transaction_type": "WITHDRAWAL" } ]	4 June 2026	4 June 2026	Done	Queries and outputs the entire audit stream of system-wide credits and debits to map transactional integrity.
Choose Role	GET	None	/api/admin/roles/	[ { "id": 1, "role": "MANAGER", "is_default": false }, { "id": 2, "role": "CASHIER", "is_default": true }, { "id": 3, "role": "SECURITY_AUDITOR", "is_default": false }]	June 9, 2026	9 June 2026		
